,ID,gender,age,race,country_home,state_home,county_home,sports_5_12,sports_13_18,primary_sport_highschool,secondary_sport_highschool,leadership_role_highschool,stop_point,study_time_highschool,club_participation_highschool,club_highschool_num,highschool_gpa,highschool_training_days_per_week,highschool_training_hours_per_day,college_athlete_desire,sports_on_college_app,year_in_school,major,college_name,major_not_bing,not_bing_apply_bing,accepted_bing_not_bing,college_gpa,post_college_plan,college_ncaa_athlete,college_teams,college_intramural_sports,college_train_days_per_week,college_train_hours_per_day,sports_grade_impact,on_colleg_athlete_scholarship,how_recruited_to_ncaa
185,185,FEMALE,21,"BLACK OR AFRICAN AMERICAN, WHITE",US,NY,ALBANY,YES,YES,BASKETBALL,XC/TRACK AND FIELD,NO,DURING HIGH SCHOOL,5,YES,3,UNKNOWN,6,3,NO,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,BOTH,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
186,186,FEMALE,21,WHITE,US,NY,STEUBEN,YES,NO,NONE,NONE,NO,END OF MIDDLE SCHOOL,8,YES,5,94.0,0,0,NO,NO,SENIOR,"ENVIRONMENTAL SCIENCE, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.1,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
187,187,FEMALE,19,ASIAN,US,NY,KINGS,NO,NO,NONE,NONE,NO,NEVER PLAYED,2,YES,2,98.0,0,0,NO,NO,JUNIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.52,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
188,188,FEMALE,21,ASIAN,US,NY,QUEENS,NO,YES,DANCE,NONE,NO,END OF MIDDLE SCHOOL,2,YES,4,99.0,0,0,NO,NO,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
189,189,MALE,20,"HISPANIC OR LATINO, WHITE",US,NY,ULSTER,NO,YES,XC/TRACK AND FIELD,NONE,NO,NEVER STOPPED,1,YES,2,94.0,5,2,YES,YES,JUNIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,BOTH,YES,XC/TRACK AND FIELD,NO,5,3,NEGATIVE EFFECT,NO,RECRUITED
190,190,FEMALE,21,WHITE,US,NY,SUFFOLK,YES,YES,GYMNASTICS,SOCCER,NO,DURING HIGH SCHOOL,5,YES,3,100.0,4,2,NO,NO,SENIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.9,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
191,191,FEMALE,21,WHITE,US,NY,ESSEX,YES,YES,XC/TRACK AND FIELD,BASKETBALL,NO,NEVER STOPPED,6,YES,2,100.0,5,2,NO,YES,SENIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.68,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
192,192,FEMALE,20,WHITE,US,NY,ONONDAGA,YES,YES,XC/TRACK AND FIELD,NONE,YES,END OF HIGH SCHOOL,4,YES,2,102.0,5,2,NO,YES,SENIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,4,EMPLOYMENT,NO,NONE,NO,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
193,193,MALE,20,ASIAN,US,NY,BROOME,YES,YES,SOCCER,TENNIS,YES,NEVER STOPPED,8,YES,5,97.0,7,4,YES,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
194,194,FEMALE,20,ASIAN,US,NY,QUEENS,NO,NO,NONE,NONE,NO,NEVER PLAYED,8,YES,3,92.0,0,0,NO,NO,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,EMPLOYMENT,NO,NONE,NO,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
195,195,MALE,20,WHITE,US,NY,MONROE,YES,YES,AMERICAN FOOTBALL,LACROSSE,YES,END OF HIGH SCHOOL,6,YES,2,93.0,5,2,NO,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.72,GRADUATE SCHOOL,NO,NONE,YES,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
196,196,FEMALE,21,WHITE,US,NY,BROOME,YES,YES,DANCE,NONE,YES,END OF HIGH SCHOOL,4,YES,3,100.6,5,3,YES,YES,SENIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,BOTH,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
197,197,MALE,19,ASIAN,US,NY,WESTCHESTER,YES,YES,XC/TRACK AND FIELD,NONE,YES,END OF HIGH SCHOOL,8,YES,1,98.0,6,3,NO,YES,SOPHOMORE,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,4,BOTH,NO,NONE,NO,0,0,NO EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
198,198,MALE,27,WHITE,US,NY,SUFFOLK,YES,YES,ROWING,NONE,NO,NEVER STOPPED,4,YES,2,92.0,5,3,NO,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
199,199,FEMALE,18,WHITE,US,NY,ONEIDA,YES,YES,SOCCER,SOFTBALL,YES,END OF HIGH SCHOOL,8,YES,4,99.0,6,2,YES,YES,FRESHMAN,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,GRADUATE SCHOOL,NO,NONE,NO,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
200,200,MALE,19,BLACK OR AFRICAN AMERICAN,US,NY,QUEENS,YES,YES,SOCCER,VOLLEYBALL,NO,NEVER STOPPED,15,YES,1,85.0,2,3,NO,NO,JUNIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.34,BOTH,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
201,201,FEMALE,18,ASIAN,US,NY,WESTCHESTER,YES,YES,TENNIS,VOLLEYBALL,YES,END OF HIGH SCHOOL,4,YES,4,UNKNOWN,5,1.5,NO,YES,FRESHMAN,"BIOLOGICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,VET SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
202,202,FEMALE,19,WHITE,US,NY,PUTNAM,NO,NO,NONE,NONE,NO,NEVER PLAYED,6,YES,4,94.8,0,0,NO,NO,SOPHOMORE,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.68,LAW SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
203,203,MALE,20,"ASIAN, WHITE",US,NY,RICHMOND,YES,YES,BASKETBALL,NONE,YES,NEVER STOPPED,0,YES,5,96.0,7,4,YES,YES,SOPHOMORE,"PHILOSOPHY, POLITICS, AND LAW, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,4,GRADUATE SCHOOL,YES,BASKETBALL,NO,7,3,NO EFFECT,NO,WALK ON
204,204,MALE,20,WHITE,US,NY,SUFFOLK,YES,YES,SOCCER,TENNIS,YES,NEVER STOPPED,4,YES,2,95.0,5,2,NO,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.57,BOTH,NO,NONE,YES,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
