,ID,gender,age,race,country_home,state_home,county_home,sports_5_12,sports_13_18,primary_sport_highschool,secondary_sport_highschool,leadership_role_highschool,stop_point,study_time_highschool,club_participation_highschool,club_highschool_num,highschool_gpa,highschool_training_days_per_week,highschool_training_hours_per_day,college_athlete_desire,sports_on_college_app,year_in_school,major,college_name,major_not_bing,not_bing_apply_bing,accepted_bing_not_bing,college_gpa,post_college_plan,college_ncaa_athlete,college_teams,college_intramural_sports,college_train_days_per_week,college_train_hours_per_day,sports_grade_impact,on_colleg_athlete_scholarship,how_recruited_to_ncaa
11,11,MALE,21,ASIAN,US,NY,ROCKLAND,YES,YES,BASKETBALL,XC/TRACK AND FIELD,YES,NEVER STOPPED,3,YES,1,94.0,6,3,YES,YES,GRADUATE STUDENT,"GEOLOGICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
12,12,FEMALE,20,"ASIAN, WHITE",US,NY,QUEENS,YES,YES,VOLLEYBALL,NONE,YES,END OF HIGH SCHOOL,6,YES,3,99.1,6,2,YES,YES,SENIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.33,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
13,13,FEMALE,21,WHITE,US,NY,NASSAU,YES,YES,SWIMMING AND DIVING,VOLLEYBALL,YES,END OF HIGH SCHOOL,3,YES,3,105.0,5,1,NO,NO,SENIOR,"PHILOSOPHY, POLITICS, AND LAW, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.92,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
14,14,FEMALE,21,WHITE,US,NY,SUFFOLK,YES,NO,NONE,NONE,NO,END OF MIDDLE SCHOOL,5,YES,2,93.0,0,0,NO,NO,SENIOR,"BIOLOGICAL SCIENCES, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
15,15,FEMALE,21,WHITE,US,NY,SUFFOLK,YES,YES,VOLLEYBALL,NONE,YES,END OF HIGH SCHOOL,3,YES,2,94.0,5,3,NO,YES,SENIOR,"HUMAN DEVELOPMENT, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.37,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
16,16,FEMALE,20,WHITE,US,NY,UNKNOWN,YES,YES,SOFTBALL,SOCCER,YES,END OF HIGH SCHOOL,5,YES,4,97.0,4,2,NO,YES,JUNIOR,"PSYCHOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.76,GRADUATE SCHOOL,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
17,17,MALE,19,WHITE,US,NY,NASSAU,YES,YES,WRESTLING,SOCCER,NO,END OF HIGH SCHOOL,5,YES,3,94.0,5,2,NO,YES,JUNIOR,"INDUSTRIAL AND SYSTEMS ENGINEERING, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.56,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
18,18,MALE,20,WHITE,US,NY,UNKNOWN,YES,YES,BASEBALL,XC/TRACK AND FIELD,NO,NEVER STOPPED,5,YES,3,98.0,3,1,NO,YES,JUNIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
19,19,MALE,21,WHITE,US,NY,SUFFOLK,YES,YES,SOCCER,NONE,NO,END OF HIGH SCHOOL,3,NO,0,94.0,6,2,YES,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,2.7,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
20,20,MALE,18,"MIDDLE EASTERN OR NORTH AFRICAN, WHITE",US,NY,NASSAU,YES,YES,AMERICAN FOOTBALL,BASKETBALL,YES,END OF HIGH SCHOOL,3,YES,2,94.0,6,4,NO,YES,FRESHMAN,"BIOLOGICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,GRADUATE SCHOOL,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
21,21,MALE,20,BLACK OR AFRICAN AMERICAN,US,NY,MONROE,NO,YES,WRESTLING,NONE,NO,END OF HIGH SCHOOL,4,YES,1,95.0,6,2,NO,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.37,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
22,22,MALE,18,WHITE,US,NY,WESTCHESTER,YES,YES,SOCCER,TENNIS,YES,END OF HIGH SCHOOL,3,YES,3,93.0,5,1,NO,YES,SOPHOMORE,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.76,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
23,23,MALE,20,HISPANIC OR LATINO,US,NY,UNKNOWN,YES,YES,BASEBALL,BASKETBALL,YES,END OF HIGH SCHOOL,1,NO,0,97.0,7,2,YES,YES,JUNIOR,"PSYCHOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.35,GRADUATE SCHOOL,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
24,24,MALE,18,WHITE,US,NY,NASSAU,YES,YES,SOCCER,BASKETBALL,YES,END OF HIGH SCHOOL,2,YES,3,94.1,3,2.5,NO,YES,FRESHMAN,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
25,25,MALE,19,WHITE,US,NY,UNKNOWN,YES,YES,AMERICAN FOOTBALL,HOCKEY,NO,DURING HIGH SCHOOL,8,YES,4,98.0,3,2,NO,YES,JUNIOR,"PSYCHOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,GRADUATE SCHOOL,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
26,26,FEMALE,21,WHITE,US,NY,ERIE,YES,YES,SOCCER,BASKETBALL,YES,NEVER STOPPED,8,YES,5,97.0,5,2,NO,YES,SENIOR,"BIOLOGICAL SCIENCES, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.58,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
27,27,MALE,21,WHITE,US,NY,UNKNOWN,YES,YES,BASEBALL,SOCCER,YES,END OF HIGH SCHOOL,5,YES,4,94.0,6,3,YES,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,GRADUATE SCHOOL,NO,NONE,YES,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
28,28,MALE,20,WHITE,US,NY,SUFFOLK,YES,YES,SOCCER,NONE,NO,DURING HIGH SCHOOL,0,NO,0,97.0,2,2,NO,NO,SENIOR,"BIOLOGICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
29,29,MALE,22,"MIDDLE EASTERN OR NORTH AFRICAN, JEWISH",US,NY,NEW YORK,YES,YES,HOCKEY,NONE,NO,DURING HIGH SCHOOL,5,NO,0,90.0,2,2,NO,YES,SENIOR,"ART, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.76,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
30,30,MALE,21,"BLACK OR AFRICAN AMERICAN, WHITE",US,NY,SUFFOLK,YES,YES,BASKETBALL,NONE,YES,DURING HIGH SCHOOL,4,NO,0,93.0,6,2,NO,YES,SENIOR,"NURSING, RN-BS PROGRAM, BS",MOLLOY UNIVERSITY,NURSING BSN,NO,NO,3.56,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
31,31,FEMALE,21,WHITE,US,NY,SUFFOLK,YES,YES,CHEER,LACROSSE,NO,END OF HIGH SCHOOL,5,YES,3,96.0,7,3,NO,NO,GRADUATE STUDENT,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
32,32,FEMALE,20,WHITE,US,NY,SUFFOLK,YES,YES,CHEER,GYMNASTICS,NO,NEVER STOPPED,8,YES,5,98.0,5,3,YES,YES,JUNIOR,"INTEGRATIVE NEUROSCIENCE, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,GRADUATE SCHOOL,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
33,33,MALE,21,WHITE,US,NY,NASSAU,YES,YES,BASEBALL,NONE,YES,NEVER STOPPED,2,YES,1,97.0,5,2,YES,NO,SENIOR,ATTENDS DIFFERENT COLLEGE,BARUCH COLLEGE,JOURNALISM,NO,DID NOT APPLY,2.98,EMPLOYMENT,YES,BASEBALL,NO,6,4,NEGATIVE EFFECT,NO,RECRUITED
34,34,MALE,18,ASIAN,US,NY,ROCKLAND,YES,YES,LACROSSE,XC/TRACK AND FIELD,NO,NEVER STOPPED,1,YES,2,UNKNOWN,6,3,NO,YES,FRESHMAN,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,GRADUATE SCHOOL,NO,NONE,NO,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
35,35,FEMALE,20,ASIAN,US,NY,UNKNOWN,YES,YES,FENCING,BASKETBALL,NO,END OF HIGH SCHOOL,8,YES,1,98.0,3,3,NO,NO,SENIOR,"ART, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.85,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
36,36,MALE,21,WHITE,US,NY,UNKNOWN,YES,YES,SOCCER,BASKETBALL,YES,END OF HIGH SCHOOL,1,NO,0,91.0,6,2,YES,YES,SENIOR,"POLITICAL SCIENCE, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,2.7,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
37,37,MALE,21,WHITE,US,NY,SUFFOLK,YES,YES,LACROSSE,NONE,YES,END OF HIGH SCHOOL,5,NO,0,90.0,6,3,NO,NO,SENIOR,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.2,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
38,38,MALE,20,WHITE,US,NY,NASSAU,YES,YES,XC/TRACK AND FIELD,XC/TRACK AND FIELD,YES,NEVER STOPPED,1,YES,1,UNKNOWN,7,3,NO,YES,JUNIOR,"POLITICAL SCIENCE, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.7,GRADUATE SCHOOL,NO,NONE,NO,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
39,39,MALE,20,WHITE,US,NY,NASSAU,YES,YES,BASEBALL,NONE,NO,END OF HIGH SCHOOL,4,YES,1,100.0,3,2,YES,YES,JUNIOR,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.9,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
40,40,MALE,20,WHITE,US,NY,SUFFOLK,YES,YES,AMERICAN FOOTBALL,NONE,NO,END OF HIGH SCHOOL,1,YES,2,100.0,5,3,NO,YES,JUNIOR,"COMPUTER SCIENCE, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.84,EMPLOYMENT,NO,NONE,NO,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
41,41,MALE,20,"ASIAN, WHITE",US,NY,NASSAU,YES,YES,BASKETBALL,NONE,NO,END OF HIGH SCHOOL,1,YES,2,98.0,5,2,NO,YES,JUNIOR,UNDECLARED,BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,2.61,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
42,42,MALE,22,ASIAN,US,NJ,ESSEX,YES,YES,BASEBALL,NONE,YES,DURING HIGH SCHOOL,5,YES,2,85.0,2,2,NO,NO,GRADUATE STUDENT,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.66,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
43,43,MALE,20,WHITE,US,NY,SUFFOLK,YES,YES,BASKETBALL,GOLF,NO,END OF MIDDLE SCHOOL,3,YES,1,90.0,2,2,YES,NO,JUNIOR,"PSYCHOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
44,44,MALE,20,WHITE,US,NY,NASSAU,YES,YES,BASEBALL,BASKETBALL,NO,END OF HIGH SCHOOL,3,YES,2,96.0,5,2,NO,YES,JUNIOR,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.55,EMPLOYMENT,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
45,45,MALE,20,WHITE,US,NJ,UNKNOWN,YES,YES,BASEBALL,GOLF,NO,END OF HIGH SCHOOL,2,NO,0,85.0,6,1,NO,YES,JUNIOR,"PHILOSOPHY, POLITICS, AND LAW, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.2,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
46,46,MALE,20,ASIAN,US,NJ,BERGEN,YES,YES,XC/TRACK AND FIELD,SOCCER,NO,DURING HIGH SCHOOL,1,NO,0,88.0,2,2,NO,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.2,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
47,47,MALE,21,WHITE,US,NJ,MORRIS,YES,YES,HOCKEY,GOLF,YES,DURING HIGH SCHOOL,6,YES,5,UNKNOWN,4,3,NO,YES,GRADUATE STUDENT,ATTENDS DIFFERENT COLLEGE,BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.93,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
48,48,MALE,21,WHITE,US,NY,NASSAU,YES,YES,BASEBALL,AMERICAN FOOTBALL,YES,END OF HIGH SCHOOL,1,YES,2,93.0,6,2,YES,YES,GRADUATE STUDENT,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.4,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
49,49,MALE,20,ASIAN,TAIWAN,NOT FROM US,TAIWAN,YES,YES,AMERICAN FOOTBALL,XC/TRACK AND FIELD,YES,END OF HIGH SCHOOL,2,NO,0,92.0,7,4,YES,YES,SOPHOMORE,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.5,GRADUATE SCHOOL,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
50,50,MALE,20,WHITE,US,NY,ALBANY,YES,YES,AMERICAN FOOTBALL,NONE,NO,DURING HIGH SCHOOL,2,YES,1,94.0,7,2,NO,YES,JUNIOR,"BIOLOGICAL SCIENCES, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.8,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
51,51,FEMALE,21,WHITE,US,NY,UNKNOWN,YES,YES,SOCCER,GOLF,YES,NEVER STOPPED,6,YES,5,96.0,7,2,YES,YES,SENIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.68,EMPLOYMENT,NO,NONE,YES,0,0,NO EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
52,52,FEMALE,21,WHITE,US,NY,SUFFOLK,YES,NO,NONE,NONE,NO,END OF MIDDLE SCHOOL,4,YES,3,99.0,0,0,NO,NO,SENIOR,"MATHEMATICAL SCIENCES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.35,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
53,53,MALE,18,HISPANIC OR LATINO,US,NJ,ESSEX,YES,YES,XC/TRACK AND FIELD,SOCCER,YES,NEVER STOPPED,3,YES,3,88.0,6,3,YES,YES,FRESHMAN,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,ECONOMICS,YES,YES,3.51,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,YES,RECRUITED
54,54,FEMALE,19,WHITE,US,NY,ONONDAGA,YES,YES,XC/TRACK AND FIELD,LACROSSE,YES,NEVER STOPPED,3,YES,4,92.0,6,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,SOCIOLOGY,YES,NO,3.2,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,NO,RECRUITED
55,55,FEMALE,20,WHITE,US,NY,NIAGARA,NO,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,5,NO,0,102.34,7,3,YES,YES,JUNIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,ANTHROPOLOGY,NO,DID NOT APPLY,2.92,BOTH,YES,XC/TRACK AND FIELD,NO,7,3,POSITIVE EFFECT,YES,RECRUITED
56,56,FEMALE,19,WHITE,US,NY,ORANGE,YES,YES,XC/TRACK AND FIELD,SOCCER,YES,NEVER STOPPED,3,NO,0,98.0,6,2,YES,YES,SOPHOMORE,"ANTHROPOLOGY, BA",STONY BROOK UNIVERSITY,ANTHROPOLOGY,YES,YES,3.7,BOTH,YES,XC/TRACK AND FIELD,NO,6,2,NO EFFECT,YES,RECRUITED
57,57,FEMALE,19,WHITE,US,NY,RENSSELAER,YES,YES,XC/TRACK AND FIELD,BASKETBALL,YES,NEVER STOPPED,6,YES,2,99.1,6,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,BIOCHEM (BS) AND PSYCHOLOGY 2ND MAJOR (BS),NO,NO,3.59,BOTH,YES,XC/TRACK AND FIELD,NO,6,3,NO EFFECT,YES,RECRUITED
58,58,MALE,18,WHITE,US,NY,ALBANY,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,2,NO,0,92.0,7,2,YES,YES,FRESHMAN,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,BUSINESS MANAGEMENT,YES,WAITLISTED,NO GPA YET,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,2,NEGATIVE EFFECT,NO,RECRUITED
59,59,MALE,20,WHITE,US,NY,SCHENECTADY,YES,YES,XC/TRACK AND FIELD,SOCCER,NO,NEVER STOPPED,2,YES,2,95.0,6,2,YES,YES,JUNIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,PHYSICS AND APPLIED MATH,NO,NO,3.9,BOTH,YES,XC/TRACK AND FIELD,NO,7,2,POSITIVE EFFECT,NO,RECRUITED
60,60,FEMALE,21,HISPANIC OR LATINO,US,NY,WESTCHESTER,YES,YES,XC/TRACK AND FIELD,XC/TRACK AND FIELD,YES,NEVER STOPPED,3,YES,1,96.0,6,2,YES,YES,SENIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.2,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,2,POSITIVE EFFECT,YES,RECRUITED
61,61,FEMALE,20,WHITE,US,NY,ORANGE,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,6,YES,2,94.0,6,2,YES,YES,JUNIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,YES,YES,3.5,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,YES,RECRUITED
62,62,FEMALE,20,WHITE,US,NY,SUFFOLK,YES,YES,XC/TRACK AND FIELD,BASKETBALL,YES,NEVER STOPPED,4,YES,3,101.3,7,2,YES,YES,SENIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.75,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,7,2,NO EFFECT,YES,RECRUITED
63,63,MALE,19,HISPANIC OR LATINO,US,NY,ORANGE,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,5,YES,2,101.73,5,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.87,MED SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,NEGATIVE EFFECT,YES,RECRUITED
64,64,FEMALE,19,WHITE,US,NY,SUFFOLK,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,5,YES,5,104.55,6,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,APPLIED MATHEMATICS AND STATISTICS,YES,YES,3.95,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,NO,WALK ON
65,65,MALE,18,WHITE,US,NY,NASSAU,YES,YES,XC/TRACK AND FIELD,BASKETBALL,YES,NEVER STOPPED,1,NO,0,89.0,7,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,YES,YES,3.2,BOTH,YES,XC/TRACK AND FIELD,NO,6,3,NO EFFECT,NO,RECRUITED
66,66,FEMALE,18,WHITE,US,CT,WINDHAM,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,7,YES,2,UNKNOWN,6,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,BIOLOGY,YES,YES,3.6,BOTH,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,NO,RECRUITED
67,67,MALE,21,WHITE,US,NY,ULSTER,YES,YES,XC/TRACK AND FIELD,TENNIS,YES,NEVER STOPPED,2,YES,2,94.0,6,2,YES,YES,SENIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,ENGLISH EDUCATION,NO,DID NOT APPLY,3.1,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,7,4,POSITIVE EFFECT,NO,WALK ON
68,68,MALE,19,WHITE,US,NY,SUFFOLK,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,5,NO,0,90.0,7,2,YES,YES,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.3,BOTH,YES,XC/TRACK AND FIELD,NO,6,2,POSITIVE EFFECT,NO,RECRUITED
69,69,FEMALE,18,WHITE,US,NY,SUFFOLK,YES,YES,XC/TRACK AND FIELD,NONE,YES,NEVER STOPPED,8,YES,4,96.0,6,3,YES,YES,FRESHMAN,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,MECHANICAL ENGINEERING AT SBU,YES,YES,NO GPA YET,BOTH,YES,XC/TRACK AND FIELD,NO,6,4,POSITIVE EFFECT,NO,RECRUITED
70,70,FEMALE,19,HISPANIC OR LATINO,US,NY,SUFFOLK,YES,YES,XC/TRACK AND FIELD,SOCCER,YES,NEVER STOPPED,2,YES,5,94.0,6,2,YES,NO,SOPHOMORE,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,BUSINESS,YES,YES,3.78,EMPLOYMENT,YES,XC/TRACK AND FIELD,NO,7,3,NO EFFECT,NO,RECRUITED
71,71,FEMALE,18,WHITE,US,NY,ONEIDA,YES,YES,XC/TRACK AND FIELD,DANCE,NO,NEVER STOPPED,4,YES,1,99.0,6,3,YES,YES,FRESHMAN,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,BIOLOGY,YES,YES,4,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,6,3,POSITIVE EFFECT,NO,RECRUITED
72,72,MALE,19,BLACK OR AFRICAN AMERICAN,NIGERIA,NOT FROM US,NIGERIA,YES,YES,XC/TRACK AND FIELD,SOCCER,YES,NEVER STOPPED,2,YES,2,92.0,5,2,YES,YES,JUNIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,MECHANICAL ENGINEERING,YES,WAITLISTED,3.167,UNEMPLOYMENT,YES,XC/TRACK AND FIELD,NO,5,3,POSITIVE EFFECT,NO,WALK ON
73,73,MALE,20,WHITE,US,NY,SLINGERLANDS,YES,YES,XC/TRACK AND FIELD,SOCCER,YES,NEVER STOPPED,1,YES,1,93.0,6,1,YES,YES,JUNIOR,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,HEALTH SCIENCE,NO,DID NOT APPLY,3.2,GRADUATE SCHOOL,YES,XC/TRACK AND FIELD,NO,7,2,NEGATIVE EFFECT,NO,RECRUITED
74,74,MALE,18,WHITE,US,NY,ORANGE,YES,YES,XC/TRACK AND FIELD,XC/TRACK AND FIELD,YES,NEVER STOPPED,10,YES,4,98.0,6,3,YES,YES,FRESHMAN,ATTENDS DIFFERENT COLLEGE,STONY BROOK UNIVERSITY,MECHANICAL ENGINEERING,NO,DID NOT APPLY,4,EMPLOYMENT,YES,XC/TRACK AND FIELD,NO,6,3,NEGATIVE EFFECT,YES,RECRUITED
